step_index,eligible_call_index,branch,mode,rho_before,rho_after,delta_rho,delta_rho_local,alpha_lf,alpha_hf,selected_indices,edit_applied
8,7,negative,observe,0.4745018482208252,0.4745018482208252,0.0,0.0,,,"[0,1]",False
8,7,positive,observe,0.4790089726448059,0.4790089726448059,0.0,0.0,,,"[0,1]",False
8,14,negative,observe,0.48281770944595337,0.48281770944595337,0.0,0.0,,,"[0,1]",False
8,14,positive,observe,0.4590132236480713,0.4590132236480713,0.0,0.0,,,"[0,1]",False
8,21,negative,observe,0.6662653684616089,0.6662653684616089,0.0,0.0,,,"[0,1]",False
8,21,positive,observe,0.6187429428100586,0.6187429428100586,0.0,0.0,,,"[0,1]",False
8,27,negative,observe,0.319061815738678,0.319061815738678,0.0,0.0,,,"[0,1]",False
8,27,positive,observe,0.3166465759277344,0.3166465759277344,0.0,0.0,,,"[0,1]",False
9,0,negative,observe,0.26494860649108887,0.26494860649108887,0.0,0.0,,,"[0,1]",False
9,0,positive,observe,0.24208727478981018,0.24208727478981018,0.0,0.0,,,"[0,1]",False
9,7,negative,observe,0.46238481998443604,0.46238481998443604,0.0,0.0,,,"[0,1]",False
9,7,positive,observe,0.47553640604019165,0.47553640604019165,0.0,0.0,,,"[0,1]",False
9,14,negative,observe,0.4857202470302582,0.4857202470302582,0.0,0.0,,,"[0,1]",False
9,14,positive,observe,0.4635910391807556,0.4635910391807556,0.0,0.0,,,"[0,1]",False
9,21,negative,observe,0.6595747470855713,0.6595747470855713,0.0,0.0,,,"[0,1]",False
9,21,positive,observe,0.6152374744415283,0.6152374744415283,0.0,0.0,,,"[0,1]",False
9,27,negative,observe,0.34471046924591064,0.34471046924591064,0.0,0.0,,,"[0,1]",False
9,27,positive,observe,0.3440870940685272,0.3440870940685272,0.0,0.0,,,"[0,1]",False
10,0,negative,observe,0.268839955329895,0.268839955329895,0.0,0.0,,,"[0,1]",False
10,0,positive,observe,0.2433767318725586,0.2433767318725586,0.0,0.0,,,"[0,1]",False
10,7,negative,observe,0.4592307209968567,0.4592307209968567,0.0,0.0,,,"[0,1]",False
10,7,positive,observe,0.47917595505714417,0.47917595505714417,0.0,0.0,,,"[0,1]",False
10,14,negative,observe,0.5042137503623962,0.5042137503623962,0.0,0.0,,,"[0,1]",False
10,14,positive,observe,0.48329249024391174,0.48329249024391174,0.0,0.0,,,"[0,1]",False
10,21,negative,observe,0.6559194326400757,0.6559194326400757,0.0,0.0,,,"[0,1]",False
10,21,positive,observe,0.6256818771362305,0.6256818771362305,0.0,0.0,,,"[0,1]",False
10,27,negative,observe,0.3415364623069763,0.3415364623069763,0.0,0.0,,,"[0,1]",False
10,27,positive,observe,0.34374773502349854,0.34374773502349854,0.0,0.0,,,"[0,1]",False
11,0,negative,observe,0.2671550512313843,0.2671550512313843,0.0,0.0,,,"[0,1]",False
11,0,positive,observe,0.2398979812860489,0.2398979812860489,0.0,0.0,,,"[0,1]",False
11,7,negative,observe,0.4567592144012451,0.4567592144012451,0.0,0.0,,,"[0,1]",False
11,7,positive,observe,0.4715732932090759,0.4715732932090759,0.0,0.0,,,"[0,1]",False
11,14,negative,observe,0.510635495185852,0.510635495185852,0.0,0.0,,,"[0,1]",False
11,14,positive,observe,0.5037633776664734,0.5037633776664734,0.0,0.0,,,"[0,1]",False
11,21,negative,observe,0.6478123664855957,0.6478123664855957,0.0,0.0,,,"[0,1]",False
11,21,positive,observe,0.6122434735298157,0.6122434735298157,0.0,0.0,,,"[0,1]",False
11,27,negative,observe,0.34162968397140503,0.34162968397140503,0.0,0.0,,,"[0,1]",False
11,27,positive,observe,0.34179815649986267,0.34179815649986267,0.0,0.0,,,"[0,1]",False
12,0,negative,observe,0.26227980852127075,0.26227980852127075,0.0,0.0,,,"[0,1]",False
12,0,positive,observe,0.23340728878974915,0.23340728878974915,0.0,0.0,,,"[0,1]",False
12,7,negative,observe,0.45747724175453186,0.45747724175453186,0.0,0.0,,,"[0,1]",False
12,7,positive,observe,0.47131046652793884,0.47131046652793884,0.0,0.0,,,"[0,1]",False
12,14,negative,observe,0.5139850974082947,0.5139850974082947,0.0,0.0,,,"[0,1]",False
12,14,positive,observe,0.50067538022995,0.50067538022995,0.0,0.0,,,"[0,1]",False
12,21,negative,observe,0.6455220580101013,0.6455220580101013,0.0,0.0,,,"[0,1]",False
12,21,positive,observe,0.6252263784408569,0.6252263784408569,0.0,0.0,,,"[0,1]",False
12,27,negative,observe,0.3345804214477539,0.3345804214477539,0.0,0.0,,,"[0,1]",False
12,27,positive,observe,0.33516114950180054,0.33516114950180054,0.0,0.0,,,"[0,1]",False
13,0,negative,observe,0.257427841424942,0.257427841424942,0.0,0.0,,,"[0,1]",False
13,0,positive,observe,0.22679723799228668,0.22679723799228668,0.0,0.0,,,"[0,1]",False
13,7,negative,observe,0.46756798028945923,0.46756798028945923,0.0,0.0,,,"[0,1]",False
13,7,positive,observe,0.4727146029472351,0.4727146029472351,0.0,0.0,,,"[0,1]",False
13,14,negative,observe,0.5209614038467407,0.5209614038467407,0.0,0.0,,,"[0,1]",False
13,14,positive,observe,0.5116368532180786,0.5116368532180786,0.0,0.0,,,"[0,1]",False
13,21,negative,observe,0.6478444337844849,0.6478444337844849,0.0,0.0,,,"[0,1]",False
13,21,positive,observe,0.6297321319580078,0.6297321319580078,0.0,0.0,,,"[0,1]",False
13,27,negative,observe,0.35319089889526367,0.35319089889526367,0.0,0.0,,,"[0,1]",False
13,27,positive,observe,0.35426637530326843,0.35426637530326843,0.0,0.0,,,"[0,1]",False
14,0,negative,observe,0.24375537037849426,0.24375537037849426,0.0,0.0,,,"[0,1]",False
14,0,positive,observe,0.21252764761447906,0.21252764761447906,0.0,0.0,,,"[0,1]",False
14,7,negative,observe,0.47122278809547424,0.47122278809547424,0.0,0.0,,,"[0,1]",False
14,7,positive,observe,0.4753122925758362,0.4753122925758362,0.0,0.0,,,"[0,1]",False
14,14,negative,observe,0.5406596660614014,0.5406596660614014,0.0,0.0,,,"[0,1]",False
14,14,positive,observe,0.528144359588623,0.528144359588623,0.0,0.0,,,"[0,1]",False
14,21,negative,observe,0.6589802503585815,0.6589802503585815,0.0,0.0,,,"[0,1]",False
14,21,positive,observe,0.642192006111145,0.642192006111145,0.0,0.0,,,"[0,1]",False
14,27,negative,observe,0.3559378683567047,0.3559378683567047,0.0,0.0,,,"[0,1]",False
14,27,positive,observe,0.35370922088623047,0.35370922088623047,0.0,0.0,,,"[0,1]",False
15,0,negative,observe,0.2359703779220581,0.2359703779220581,0.0,0.0,,,"[0,1]",False
15,0,positive,observe,0.20234566926956177,0.20234566926956177,0.0,0.0,,,"[0,1]",False
15,7,negative,observe,0.485293984413147,0.485293984413147,0.0,0.0,,,"[0,1]",False
15,7,positive,observe,0.4843382239341736,0.4843382239341736,0.0,0.0,,,"[0,1]",False
15,14,negative,observe,0.5715328454971313,0.5715328454971313,0.0,0.0,,,"[0,1]",False
15,14,positive,observe,0.568903923034668,0.568903923034668,0.0,0.0,,,"[0,1]",False
15,21,negative,observe,0.6789493560791016,0.6789493560791016,0.0,0.0,,,"[0,1]",False
15,21,positive,observe,0.6561131477355957,0.6561131477355957,0.0,0.0,,,"[0,1]",False
15,27,negative,observe,0.36150604486465454,0.36150604486465454,0.0,0.0,,,"[0,1]",False
15,27,positive,observe,0.36113882064819336,0.36113882064819336,0.0,0.0,,,"[0,1]",False
16,0,negative,observe,0.21968060731887817,0.21968060731887817,0.0,0.0,,,"[0,1]",False
16,0,positive,observe,0.18815022706985474,0.18815022706985474,0.0,0.0,,,"[0,1]",False
16,7,negative,observe,0.4937233328819275,0.4937233328819275,0.0,0.0,,,"[0,1]",False
16,7,positive,observe,0.4873253107070923,0.4873253107070923,0.0,0.0,,,"[0,1]",False
16,14,negative,observe,0.6145128011703491,0.6145128011703491,0.0,0.0,,,"[0,1]",False
16,14,positive,observe,0.6024564504623413,0.6024564504623413,0.0,0.0,,,"[0,1]",False
16,21,negative,observe,0.6925443410873413,0.6925443410873413,0.0,0.0,,,"[0,1]",False
16,21,positive,observe,0.6750651597976685,0.6750651597976685,0.0,0.0,,,"[0,1]",False
16,27,negative,observe,0.3609965741634369,0.3609965741634369,0.0,0.0,,,"[0,1]",False
16,27,positive,observe,0.3619542419910431,0.3619542419910431,0.0,0.0,,,"[0,1]",False
17,0,negative,observe,0.1898142248392105,0.1898142248392105,0.0,0.0,,,"[0,1]",False
17,0,positive,observe,0.16726772487163544,0.16726772487163544,0.0,0.0,,,"[0,1]",False
17,7,negative,observe,0.49792301654815674,0.49792301654815674,0.0,0.0,,,"[0,1]",False
17,7,positive,observe,0.4824138879776001,0.4824138879776001,0.0,0.0,,,"[0,1]",False
17,14,negative,observe,0.6320686936378479,0.6320686936378479,0.0,0.0,,,"[0,1]",False
17,14,positive,observe,0.6209835410118103,0.6209835410118103,0.0,0.0,,,"[0,1]",False
17,21,negative,observe,0.6943097710609436,0.6943097710609436,0.0,0.0,,,"[0,1]",False
17,21,positive,observe,0.6679701805114746,0.6679701805114746,0.0,0.0,,,"[0,1]",False
17,27,negative,observe,0.35528603196144104,0.35528603196144104,0.0,0.0,,,"[0,1]",False
17,27,positive,observe,0.354061484336853,0.354061484336853,0.0,0.0,,,"[0,1]",False
18,0,negative,observe,0.1468484252691269,0.1468484252691269,0.0,0.0,,,"[0,1]",False
18,0,positive,observe,0.1381773054599762,0.1381773054599762,0.0,0.0,,,"[0,1]",False
18,7,negative,observe,0.48481154441833496,0.48481154441833496,0.0,0.0,,,"[0,1]",False
18,7,positive,observe,0.4775397777557373,0.4775397777557373,0.0,0.0,,,"[0,1]",False
18,14,negative,observe,0.6567469835281372,0.6567469835281372,0.0,0.0,,,"[0,1]",False
18,14,positive,observe,0.6598973274230957,0.6598973274230957,0.0,0.0,,,"[0,1]",False
18,21,negative,observe,0.6919345259666443,0.6919345259666443,0.0,0.0,,,"[0,1]",False
18,21,positive,observe,0.6638779044151306,0.6638779044151306,0.0,0.0,,,"[0,1]",False
18,27,negative,observe,0.3563072681427002,0.3563072681427002,0.0,0.0,,,"[0,1]",False
18,27,positive,observe,0.35544532537460327,0.35544532537460327,0.0,0.0,,,"[0,1]",False
19,0,negative,observe,0.08749033510684967,0.08749033510684967,0.0,0.0,,,"[0,1]",False
19,0,positive,observe,0.0974094346165657,0.0974094346165657,0.0,0.0,,,"[0,1]",False
19,7,negative,observe,0.474796324968338,0.474796324968338,0.0,0.0,,,"[0,1]",False
19,7,positive,observe,0.4759255647659302,0.4759255647659302,0.0,0.0,,,"[0,1]",False
19,14,negative,observe,0.6637479066848755,0.6637479066848755,0.0,0.0,,,"[0,1]",False
19,14,positive,observe,0.6579893827438354,0.6579893827438354,0.0,0.0,,,"[0,1]",False
19,21,negative,observe,0.6724234819412231,0.6724234819412231,0.0,0.0,,,"[0,1]",False
19,21,positive,observe,0.6515264511108398,0.6515264511108398,0.0,0.0,,,"[0,1]",False
19,27,negative,observe,0.3652561604976654,0.3652561604976654,0.0,0.0,,,"[0,1]",False
19,27,positive,observe,0.36339426040649414,0.36339426040649414,0.0,0.0,,,"[0,1]",False
